Overall rank,Country,Happiness,GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_life_choices,Generosity,Perceptions_corruption,Year,GDP_per_capita_const_LCU,Gross_income_const_LCU,Govt_educ_pct_GDP,Gini_index
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2019,70422.8201601853,,4.05939483642578,38.2
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,2019,241512.986772903,180377686056.032,4.50982761383057,
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,2019,875022.015365347,22448184261530.0,3.04739952087402,
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,2019,17935.2010483157,121396262465.577,4.19902992248535,40.3
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,2019,5288.32921264617,158858135050.357,3.15307116508484,
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,2019,82344.5281181882,2352483854376.92,3.48568081855774,
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019,2820.43395120883,,2.98847007751465,
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,2019,658712.137956612,8481201621215.56,2.96520113945007,
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019,2534494.78644939,12881258328781.7,2.8743097782135,
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019,76922.8018514166,4688568971080.0,5.91158008575439,
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2019,540373.091989534,1532889320625.92,3.91623997688293,30.1
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,2019,7926067.99552997,136153326690065.0,2.82565474510193,
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,2019,807007.590062498,13508161914553.0,5.03527021408081,
112,Somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,2019,16523078.0559768,263810816571000.0,,
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2019,54659.1857216051,153666984556.558,9.32253170013428,
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,2019,314634.603238129,7194446769470.27,3.52622723579407,
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019,423911.554739749,9410862097161.23,5.40713691711426,
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019,1939337.25900422,5385015360225.29,2.57191228866577,30.0
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019,5175216.44896491,67234070135893.5,1.85812997817993,
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019,13366.6257992598,49726000000.0,3.82985997200012,35.9
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019,171024.658462706,8798659378714.66,5.37359189987183,
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019,73708.7968148321,340590669549.636,1.82317996025085,32.0
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,2019,32468.3715405841,970335004650.233,6.2863941192627,50.3
124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,2019,8150.46918837859,96001739018.6806,6.1737322807312,
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019,155338.569163005,25617358580559.9,1.68138802051544,
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019,5392802.18303041,182963114971255.0,,
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019,257308.056105813,5705573227614.06,3.55504989624023,
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019,6916.24973438277,53327412787.1486,7.44701194763184,
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,2019,605709.138100261,13234050858684.9,,37.7
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,2019,1757734.50105055,,1.99976003170013,
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019,323971.148476709,4751547065293.47,2.37245798110962,
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,2019,61341.6796875,2691371443786.75,5.44129991531372,26.6
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019,17182.6563505415,1989973414607.9,4.48086929321289,
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,2019,2855526.50688656,121694367066933.0,2.30828070640564,42.7
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019,7653.81448439732,,4.41824007034302,
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2019,486170.833118675,4119869997392.75,4.20166826248169,
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019,104638.758779585,146395241295086.0,3.89732360839844,
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,2019,681.096158966763,,2.16508197784424,
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,2019,530431.866896862,418352706866.854,,
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,2019,775382.006887848,22112746214831.7,3.01338386535645,
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2019,9583.68823280476,23463722662.3313,7.19406890869141,
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019,145219.890193137,1769469817035.29,5.34668445587158,
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,2019,13893.6074292755,212174391900.0,,50.3
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,2019,58256.0348281245,677955689649.068,1.75941300392151,
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019,78796.5951469137,165583386440.578,8.39899635314941,
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,2019,378707.716672645,,,38.5
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,2019,715266.743528915,8998734488401.44,3.23868060112,
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,2019,2092918.375,122529084085567.0,3.59683632850647,
154,Afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,2019,37592.2682041301,,,
155,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,2019,154431.183430026,763576953491.569,1.76792073249817,
