Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,48174235294.1176
Azerbaijan,AZE,GNI (current US$),NY.GNP.MKTP.CD,46318529411.7647
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.1764600276947
Azerbaijan,AZE,Gini index,SI.POV.GINI,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.29
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,13016200000
"Bahamas, The",BHS,GNI (current US$),NY.GNP.MKTP.CD,12394010000
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.6171863079071
"Bahamas, The",BHS,Gini index,SI.POV.GINI,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.336
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.408
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,40446808510.6383
Bahrain,BHR,GNI (current US$),NY.GNP.MKTP.CD,38186170212.766
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.38460445404053
Bahrain,BHR,Gini index,SI.POV.GINI,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.471
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,351231654603.692
Bangladesh,BGD,GNI (current US$),NY.GNP.MKTP.CD,365618637342.157
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.68138802051544
Bangladesh,BGD,Gini index,SI.POV.GINI,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.625
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5788288000
Barbados,BRB,GNI (current US$),NY.GNP.MKTP.CD,5521288000
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.0863299369812
Barbados,BRB,Gini index,SI.POV.GINI,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.41
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.495
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,64410122847.3508
Belarus,BLR,GNI (current US$),NY.GNP.MKTP.CD,62499831005.415
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.97948980331421
Belarus,BLR,Gini index,SI.POV.GINI,25.3
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.165
